,graph_name,pythonBranchingAPC,pythonBranching_time,pythonBranchingMathTime,pythonBranchingFirstHalfTime,(python)longest for getrgf,(python)longest time,pythonBranchingCase,pythonBranchingGamma
57,collatz_.main,1.0*1.18920711500272**n,0.3605351448059082,0.026955366134643555,0.26652002334594727,gammaTime,0.264,1.0,(-2*T0*x**4 + T0 - 2*x**5)/(2*x**4 - 1)
58,euclidean_algorithm_extended_.extended_euclidean_algorithm,0.142857142857143*1.0**n*n,0.5255217552185059,0.06121063232421875,0.3376290798187256,gammaTime,0.334,1.0,(-T0*x**14 + T0 - x**5 - x**4)/(x**14 - 1)
59,factorial_.main,0.135387609239746*1.26655954340542**n,1.1805641651153564,0.05163264274597168,0.7538695335388184,gammaTime,0.748,1.0,(-T0*(x**7 - x**5 + x**3 + x**2 - 1) + x**3*(x**7 + x**6 - x**5 - x**4 + x**3 + x**2 - 1))/(x**7 - x**5 + x**3 + x**2 - 1)
60,factorial_large_number_.main,0.0393544238328279*1.2626039468039**n,2.228605031967163,0.09375214576721191,1.4804654121398926,gammaTime,1.472,1.0,(-T0*(-x**11 + x**8 + (x**3 - 1)*(2*x**9*(x**3 + 1) - 2*x**5 - x**4*(x**3 + 1) + 1)) + 2*x**13*(-2*x**9*(x**3 + 1) + 2*x**5 + x**4*(x**3 + 1) - 1))/(-x**11 + x**8 + (x**3 - 1)*(2*x**9*(x**3 + 1) - 2*x**5 - x**4*(x**3 + 1) + 1))
61,factorial_trailing_zeroes_.main,0.25*1.0**n*n,0.1950092315673828,0.009708642959594727,0.12152910232543945,gammaTime,0.119,1.0,(-T0*x**4 + T0 - x**4)/(x**4 - 1)
62,fibonacci_.fib,1.34276985357042**n,0.12837696075439453,case 2,0.09125423431396484,gammaTime,0.089,2.0,-T0 + x**2*(x**2*(x*(T0**2 + 1) + 1) + 1)
63,fibonacci_dp_.fib,0.333333333333333*1.0**n*n,0.25589966773986816,0.020843982696533203,0.14385986328125,gammaTime,0.142,1.0,(-T0*x**3 + T0 + x**5 - x**4 - x**2)/(x**3 - 1)
64,fibonacci_fast_.fib,0.529179712232089*1.28854058617506**n,0.34470629692077637,0.028269290924072266,0.13503003120422363,genFuncTime,0.146,1.0,-T0 + x**4*(x + 1)*(2*T0*x + 1)
65,fibonacci_formula_.fib,1.0**(n + 1),0.03680014610290527,0.00894927978515625,0.01610541343688965,gammaTime,0.015,1.0,-T0 + x**3
66,gcd_.GCD,0.333333333333333*1.0**n*n,0.10789680480957031,0.007926702499389648,0.03901815414428711,genFuncTime,0.055,1.0,-T0 + x**3*(T0 + 1)
